rank,player_name,team_short,position_group,matches,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement,silo__Shooting,silo__Defending,silo__Dribbling
37,Mark Natta,Newcastle Jets,Central Defender,16,61.6,55.4,37.2,91.5,89.7,52.6,68.1,58.3,48.6
39,Jesse Randall,Auckland,Center Forward,4,61.3,69.6,53.5,13.6,66.2,73.7,83.3,25.9,33.3
40,Nathaniel Atkinson,Melbourne City,Full Back,18,61.0,49.9,70.8,78.7,65.9,42.5,57.4,57.4,64.7
40,Bart Vriends,Adelaide United,Central Defender,23,61.0,48.1,84.1,48.4,57.6,88.7,30.6,58.3,48.6
42,Tim Payne,Wellington,Full Back,16,60.9,85.7,42.9,54.3,64.0,69.4,22.1,44.1,82.4
43,Austin Ayoubi,Adelaide United,Wide Attacker,4,60.7,80.8,41.2,86.0,56.8,89.3,19.5,11.0,65.9
44,Francis De Vries,Auckland,Full Back,27,60.5,54.6,48.8,46.8,81.8,70.0,91.2,41.2,82.4
45,Ethan Alagich,Adelaide United,Midfield,25,59.8,64.3,62.7,47.8,57.2,57.6,59.8,93.5,34.8
46,Kasey Bos,Melbourne Victory,Full Back,22,59.5,32.6,75.2,50.4,50.8,68.6,88.2,48.5,88.2
46,Jake Brimmer,Auckland,Midfield,11,59.5,85.0,43.6,34.2,83.2,68.3,82.6,37.0,75.0
48,Daniel Wilmering,Newcastle Jets,Full Back,21,59.4,88.4,83.0,50.1,64.5,68.8,57.4,27.9,26.5
49,Alex Rufer,Wellington,Midfield,17,58.5,41.9,25.8,57.4,56.2,26.0,75.0,82.6,96.7
