rank,rank_in_position,player_name,team_short,position_group,matches,minutes,score_overall,silo__Pace,silo__Physical,silo__Passing,silo__Creation,silo__Movement
172,36,Ivan Vujica,Macarthur,Full Back,18,92.2,40.4,16.1,23.6,44.5,67.5,63.9
173,37,Riley Warland,Perth Glory,Full Back,4,86.7,39.8,71.0,34.0,53.4,26.3,5.9
173,37,Callum Talbot,Melbourne City,Full Back,14,90.8,39.8,19.7,56.8,33.7,42.7,47.2
175,40,Frans Deli,Macarthur,Midfield,4,78.4,39.5,8.7,15.9,67.8,48.9,23.7
176,36,Nando Pijnaker,Auckland,Central Defender,26,97.3,39.4,63.8,40.5,27.2,46.4,38.6
176,39,Takuya Okamoto,Perth Glory,Full Back,3,87.1,39.4,37.2,34.0,43.7,36.1,48.4
178,36,Abel Walatee,Western United,Wide Attacker,9,73.8,38.3,33.8,21.1,12.9,51.7,48.3
178,36,Benjamin Mazzeo,Melbourne City,Wide Attacker,5,84.0,38.3,69.4,80.0,18.3,15.3,23.3
180,38,Jonny  Yull,Adelaide United,Wide Attacker,6,88.1,38.2,35.3,54.4,59.8,46.0,19.1
180,38,Kavian Rahmani,Melbourne City,Wide Attacker,5,76.4,38.2,7.7,30.9,61.7,53.8,43.6
182,40,Jack Hingert,Brisbane Roar,Full Back,10,84.9,37.7,23.1,38.9,50.4,31.4,49.1
183,41,Haine Anthony Eames,Central Coast,Midfield,10,94.8,37.5,32.9,59.7,30.2,20.1,53.7
184,40,Thomas Aquilina,Newcastle Jets,Wide Attacker,13,95.2,36.8,25.7,73.5,46.9,30.0,32.5
185,37,Anthony Pantazopoulos,WS Wanderers,Central Defender,15,99.0,36.5,60.4,32.0,28.3,54.2,34.8
186,41,Hideki Ishige,Wellington,Wide Attacker,12,87.0,35.6,27.1,49.7,46.1,20.3,44.9
186,41,Vitor Correia da Silva,Central Coast,Wide Attacker,5,73.8,35.6,70.6,26.3,39.5,24.5,18.7
